job_id,country,city,job_title,company,skills_text,skill
UAE_001,UAE,Dubai,Product Data Analyst Intern,TikTok,"SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills",SQL
UAE_001,UAE,Dubai,Product Data Analyst Intern,TikTok,"SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills",Excel
UAE_001,UAE,Dubai,Product Data Analyst Intern,TikTok,"SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills",Tableau
UAE_001,UAE,Dubai,Product Data Analyst Intern,TikTok,"SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills",Data Visualization
UAE_001,UAE,Dubai,Product Data Analyst Intern,TikTok,"SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills",Dashboarding
UAE_001,UAE,Dubai,Product Data Analyst Intern,TikTok,"SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills",Reporting
UAE_001,UAE,Dubai,Product Data Analyst Intern,TikTok,"SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills",Stakeholder Communication
UAE_001,UAE,Dubai,Product Data Analyst Intern,TikTok,"SQL, Excel, Tableau, Data Visualization, Dashboarding, Reporting, Stakeholder Communication, Presentation Skills",Presentation Skills
UAE_002,UAE,Dubai,Project Data Analyst Intern,CAGS Management Services DMCC,"Data Cleaning, Quality Assurance, Manual Testing, Bug Reporting, Technical Documentation, Reporting, Stakeholder Communication",Data Cleaning
UAE_002,UAE,Dubai,Project Data Analyst Intern,CAGS Management Services DMCC,"Data Cleaning, Quality Assurance, Manual Testing, Bug Reporting, Technical Documentation, Reporting, Stakeholder Communication",Quality Assurance
UAE_002,UAE,Dubai,Project Data Analyst Intern,CAGS Management Services DMCC,"Data Cleaning, Quality Assurance, Manual Testing, Bug Reporting, Technical Documentation, Reporting, Stakeholder Communication",Manual Testing
UAE_002,UAE,Dubai,Project Data Analyst Intern,CAGS Management Services DMCC,"Data Cleaning, Quality Assurance, Manual Testing, Bug Reporting, Technical Documentation, Reporting, Stakeholder Communication",Bug Reporting
UAE_002,UAE,Dubai,Project Data Analyst Intern,CAGS Management Services DMCC,"Data Cleaning, Quality Assurance, Manual Testing, Bug Reporting, Technical Documentation, Reporting, Stakeholder Communication",Technical Documentation
UAE_002,UAE,Dubai,Project Data Analyst Intern,CAGS Management Services DMCC,"Data Cleaning, Quality Assurance, Manual Testing, Bug Reporting, Technical Documentation, Reporting, Stakeholder Communication",Reporting
